id_cliente,nombre,ciudad,correo
1,Emilio Ferrera Ropero,Valladolid,mgaray@guzman.es
2,Vera Rosenda Cárdenas Julián,Ceuta,nestorbernat@gmail.com
3,Tecla Muñoz Ocaña,Palencia,matiasnaranjo@ramis-garate.com
4,Hortensia Moll Bustos,Valladolid,qgranados@hotmail.com
5,Fermín Escolano Ayala,Badajoz,gimenezmaria@tur.es
6,Dani Bayona Llabrés,Girona,ordonezanastasio@yahoo.com
7,Rogelio Perales,Valencia,pastoralonso@yahoo.com
8,Adela Abellán Maldonado,Sevilla,dcampos@hotmail.com
9,Emperatriz Bonilla Valderrama,Huelva,amilcar77@gascon.es
10,Sergio Blanco-Recio,Badajoz,escuderoencarnacion@hotmail.com
11,Paz Cañas-Girona,Sevilla,espiridion10@saez-cabello.es
12,Poncio Pons Casado,Sevilla,fabricio90@silva.es
13,Eustaquio Fernando Escalona Amo,Murcia,preina@polo-montesinos.net
14,Amador Serrano Tur,Cáceres,ccarreno@yahoo.com
15,Cosme Espada Cuenca,Álava,molesroman@yahoo.com
16,Adelia Bernal Juliá,Albacete,urosado@figuerola.es
17,Fermín Vallejo Jover,Guadalajara,campillomarcelo@hotmail.com
18,Asdrubal Adán Castilla,Castellón,arcebenigno@gmail.com
19,Aurelio Viña Rovira,Álava,solsonaapolonia@hotmail.com
20,Nazario del Frutos,Santa Cruz de Tenerife,vendrellagustin@larranaga-coello.es
21,Julián Cal Calatayud,Zaragoza,isaias32@dalmau-izquierdo.com
22,Jeremías Criado Guillen,Barcelona,coronasuarez@yahoo.com
23,María Manuela Seco Águila,Ceuta,carrascoangel@pedrosa.es
24,María Cristina España Hervás,Valladolid,qmenendez@campoy.com
25,Chuy de Escamilla,Cádiz,amparomorell@franch.com
26,Heriberto Morcillo Benavente,Ávila,bertasalva@vina.com
27,Domitila Mir Ros,Cádiz,opalomares@yahoo.com
28,Enrique Ariza Polo,Melilla,xyanez@almeida.es
29,Rosenda Company Núñez,Asturias,ferreroamando@yahoo.com
30,Dan Maza Casanovas,Girona,rolandodavila@yahoo.com
31,Gabriela Pareja-Aramburu,Cáceres,xcabezas@giralt-rius.org
32,Hilda Sevillano Gelabert,Pontevedra,garciateresa@gmail.com
33,Godofredo Salazar Vaquero,Vizcaya,adeliaosuna@gmail.com
34,Yaiza Pellicer Adán,Santa Cruz de Tenerife,morillosara@yahoo.com
35,Paulina Iglesias Ledesma,Ceuta,balonso@gmail.com
36,Amor Maura Cueto Berrocal,Guadalajara,quirinosabater@hotmail.com
37,Cristina Leon Cózar,Barcelona,villasevero@cerezo-juarez.com
38,Joaquina Riera Guardia,Ávila,ggarate@sala.es
39,Custodia del Castells,Melilla,chusperello@gmail.com
40,Hilario Reig Ibáñez,Teruel,epuig@yahoo.com
